S. No,Description,Average Price,% Change,Cities,Value,Month
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Islam-abad,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Rawal-pindi,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Gujran-wala,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Sialkot,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Lahore,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Faisal-abad,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Sar-godha,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Multan,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Baha-walpur,1295,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Karachi,2046.54,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Hyder-abad,1916.95,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Sukkur,1532.46,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Larkana,1801.74,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Pesha-war,2086.49,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Bannu,1634.59,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Quetta,2224.17,12-01-2022
1,Wheat Flour Bag 20 Kg,1556.73,2.61,Khuz-dar,2200.31,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Islam-abad,153.57,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Rawal-pindi,152.31,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Gujran-wala,122.37,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Sialkot,119.83,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Lahore,140.7,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Faisal-abad,142.6,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Sar-godha,113.72,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Multan,138.85,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Baha-walpur,120,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Karachi,161.23,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Hyder-abad,146.19,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Sukkur,149.73,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Larkana,138.53,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Pesha-war,123.69,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Bannu,100,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Quetta,144.94,12-01-2022
2, Rice Basmati Broken (Average Quality 1 Kg,133.91,4.87,Khuz-dar,125.24,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Islam-abad,101.6,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Rawal-pindi,93.77,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Gujran-wala,,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Sialkot,,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Lahore,81.87,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Faisal-abad,130,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Sar-godha,91.64,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Multan,96.44,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Baha-walpur,80,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Karachi,99.44,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Hyder-abad,121.07,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Sukkur,89.55,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Larkana,113.9,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Pesha-war,117.26,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Bannu,120,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Quetta,104.92,12-01-2022
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,101.76,2.47,Khuz-dar,100,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Islam-abad,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Rawal-pindi,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Gujran-wala,91.92,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Sialkot,75.18,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Lahore,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Faisal-abad,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Sar-godha,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Multan,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Baha-walpur,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Karachi,70,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Hyder-abad,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Sukkur,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Larkana,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Pesha-war,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Bannu,80,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Quetta,90,12-01-2022
4,Bread plain (Small Size) Each,85.97,1.78,Khuz-dar,70,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Islam-abad,808.12,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Rawal-pindi,780.96,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Gujran-wala,700,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Sialkot,650,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Lahore,723.38,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Faisal-abad,700,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Sar-godha,646.65,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Multan,700,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Baha-walpur,632.89,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Karachi,809.97,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Hyder-abad,678.72,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Sukkur,650,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Larkana,766.31,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Pesha-war,595.18,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Bannu,600,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Quetta,689.95,12-01-2022
5,Beef with Bone (Average Quality) 1 Kg,693.13,0.18,Khuz-dar,700,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Islam-abad,1657.5,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Rawal-pindi,1602.55,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Gujran-wala,1532.62,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Sialkot,1500,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Lahore,1718.88,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Faisal-abad,1432.57,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Sar-godha,1300,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Multan,1600,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Baha-walpur,1316.46,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Karachi,1634.52,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Hyder-abad,1500.72,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Sukkur,1300,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Larkana,1250,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Pesha-war,1279.81,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Bannu,1100,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Quetta,1488.64,12-01-2022
6,Mutton (Average Quality) 1 Kg,1434.01,0.2,Khuz-dar,1333.12,12-01-2022
7,Chicken Farm Broiler (Live) 1 Kg,306.94,8.69,Islam-abad,305.33,12-01-2022
7,Chicken Farm Broiler (Live) 1 Kg,306.94,8.69,Rawal-pindi,296.22,12-01-2022
