S. No,Description,Average Price,% Change,Cities,Value,Month
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Islam-abad,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Rawal-pindi,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Gujran-wala,1785.4,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Sialkot,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Lahore,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Faisal-abad,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Sar-godha,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Multan,1438.36,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Baha-walpur,1295,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Karachi,2446.93,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Hyder-abad,2172.7,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Sukkur,1738.54,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Larkana,2038.74,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Pesha-war,2628.15,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Bannu,2074.35,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Quetta,2661.77,1/1/2023
1,Wheat Flour Bag 20 Kg,1736.49,11.55,Khuz-dar,2767.45,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Islam-abad,163.13,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Rawal-pindi,168.38,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Gujran-wala,145.62,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Sialkot,150,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Lahore,166.42,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Faisal-abad,160.39,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Sar-godha,135.24,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Multan,155.7,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Baha-walpur,133.71,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Karachi,190.57,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Hyder-abad,158.28,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Sukkur,180,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Larkana,155.75,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Pesha-war,152.82,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Bannu,129.61,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Quetta,159.87,1/1/2023
2,Rice Basmati Broken (Average Qualit y 1 Kg,154.27,15.2,Khuz-dar,131.48,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Islam-abad,107.02,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Rawal-pindi,95.67,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Gujran-wala,,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Sialkot,,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Lahore,81.87,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Faisal-abad,130,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Sar-godha,91.64,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Multan,115.41,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Baha-walpur,97.26,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Karachi,124.38,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Hyder-abad,133.16,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Sukkur,100,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Larkana,129.74,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Pesha-war,136.18,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Bannu,130,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Quetta,114.93,1/1/2023
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,111.9,9.96,Khuz-dar,110.21,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Islam-abad,97.4,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Rawal-pindi,97.4,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Gujran-wala,100,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Sialkot,100,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Lahore,100,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Faisal-abad,94.87,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Sar-godha,90,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Multan,97.4,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Baha-walpur,100,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Karachi,98.25,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Hyder-abad,90,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Sukkur,90,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Larkana,93.22,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Pesha-war,95.71,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Bannu,80,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Quetta,90,1/1/2023
4,Bread plain (Small Size) Each,93.01,8.19,Khuz-dar,72.38,1/1/2023
5,Beef with Bone (Average Quality) 1 Kg,693.96,0.12,Islam-abad,808.12,1/1/2023
5,Beef with Bone (Average Quality) 1 Kg,693.96,0.12,Rawal-pindi,790.81,1/1/2023
5,Beef with Bone (Average Quality) 1 Kg,693.96,0.12,Gujran-wala,700,1/1/2023
5,Beef with Bone (Average Quality) 1 Kg,693.96,0.12,Sialkot,650,1/1/2023
5,Beef with Bone (Average Quality) 1 Kg,693.96,0.12,Lahore,723.38,1/1/2023
5,Beef with Bone (Average Quality) 1 Kg,693.96,0.12,Faisal-abad,700,1/1/2023
