"S.
No.",Description,Average Price,% Change,Cities,Value,Month
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Islam-abad,2913.23,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Rawal-pindi,2902.12,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Gujran-wala,2799.33,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Sialkot,2800,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Lahore,2798,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Faisal-abad,2773.27,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Sar-godha,2830,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Multan,2725.84,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Baha-walpur,2749.85,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Karachi,2790.99,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Hyder-abad,2892.42,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Sukkur,2694.99,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Larkana,2714.88,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Pesha-war,2829.33,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Bannu,2837.35,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Quetta,2890.29,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Khuz-dar,2879.97,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Islam-abad,254.82,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Rawal-pindi,245.28,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Gujran-wala,196.78,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Sialkot,163.27,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Lahore,233.98,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Faisal-abad,224.11,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Sar-godha,219.15,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Multan,200,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Baha-walpur,186.43,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Karachi,268.02,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Hyder-abad,248.17,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Sukkur,220,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Larkana,249.93,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Pesha-war,234.92,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Bannu,189.15,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Quetta,264.97,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Khuz-dar,223.28,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Islam-abad,168.39,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Rawal-pindi,147.87,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Faisal-abad,160,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Sar-godha,176.6,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Multan,158.12,January 2024
